match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
501238,13-May-2011,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,55.7,1
501239,14-May-2011,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,56.1,0
501240,15-May-2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,56.3,1
501241,16-May-2011,Mumbai Indians,Pune Warriors,Pune Warriors,Mumbai Indians,53.4,0
501242,17-May-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,Kochi Tuskers Kerala,57.6,0
501243,18-May-2011,Deccan Chargers,Delhi Capitals,Delhi Capitals,Delhi Capitals,60.2,1
501244,19-May-2011,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,51.9,0
501245,20-May-2011,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.7,1
501246,21-May-2011,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,56.4,0
501247,22-May-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,51.2,0
501248,23-May-2011,Punjab Kings,Pune Warriors,Pune Warriors,Pune Warriors,53.4,1
501249,24-May-2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,64.4,0
501250,25-May-2011,Deccan Chargers,Pune Warriors,Pune Warriors,Pune Warriors,52.5,1
501251,26-May-2011,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,55.3,0
501252,27-May-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.0,1
501253,28-May-2011,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,53.9,0
501254,01-Jun-2011,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,Punjab Kings,57.3,1
501255,02-Jun-2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.3,1
501256,03-Jun-2011,Deccan Chargers,Mumbai Indians,Mumbai Indians,Deccan Chargers,54.5,0
501257,04-Jun-2011,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,50.4,0
501258,05-Jun-2011,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,51.0,1
501259,06-Jun-2011,Pune Warriors,Deccan Chargers,Pune Warriors,Deccan Chargers,50.3,0
501260,07-Jun-2011,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,51.5,1
501261,08-Jun-2011,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Chennai Super Kings,52.3,0
501262,09-Jun-2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,51.5,1
501263,10-Jun-2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.8,1
501264,11-Jun-2011,Deccan Chargers,Punjab Kings,Punjab Kings,Deccan Chargers,60.0,0
501266,12-Jun-2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,62.7,1
