match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
1082631,12-May-2017,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,56.8,1
1082632,13-May-2017,Gujarat Lions,Delhi Capitals,Delhi Capitals,Delhi Capitals,53.9,1
1082633,14-May-2017,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,55.3,0
1082634,15-May-2017,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiant,56.2,0
1082635,16-May-2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,50.0,0
1082636,17-May-2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.4,1
1082637,18-May-2017,Punjab Kings,Gujarat Lions,Gujarat Lions,Gujarat Lions,53.2,1
1082638,19-May-2017,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,50.8,1
1082639,20-May-2017,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,54.3,0
1082640,21-May-2017,Gujarat Lions,Delhi Capitals,Delhi Capitals,Delhi Capitals,55.6,1
1082641,22-May-2017,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,57.0,0
1082642,23-May-2017,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,Delhi Capitals,53.8,1
1082643,24-May-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,59.8,1
1082644,25-May-2017,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,53.1,0
1082645,26-May-2017,Punjab Kings,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant,55.6,1
1082646,27-May-2017,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,52.9,0
1082647,28-May-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,55.5,0
1082648,01-Jun-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,50.3,0
1082649,02-Jun-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,56.5,1
1082650,03-Jun-2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,Mumbai Indians,51.9,0
1136561,02-Apr-2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.7,1
1136562,03-Apr-2018,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,62.0,1
1136563,04-Apr-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,50.8,0
1136564,05-Apr-2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,56.9,1
1136565,06-Apr-2018,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,53.5,1
1136566,07-Apr-2018,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Rajasthan Royals,53.0,0
1136567,08-Apr-2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,59.1,1
1136568,09-Apr-2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,55.4,1
1136569,10-Apr-2018,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.4,1
1136570,11-Apr-2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,57.5,1
1136571,12-Apr-2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,54.7,0
1136572,13-Apr-2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Punjab Kings,52.4,0
1136573,14-Apr-2018,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,53.2,0
1136574,15-Apr-2018,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,60.3,0
1136575,16-Apr-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,54.5,1
1136576,17-Apr-2018,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,50.8,0
1136577,18-Apr-2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,62.6,0
1136578,19-Apr-2018,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,56.0,1
1136579,20-Apr-2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,61.4,1
1136580,21-Apr-2018,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,64.9,0
1136581,22-Apr-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.8,1
1136582,23-Apr-2018,Punjab Kings,Delhi Capitals,Punjab Kings,Punjab Kings,51.5,1
1136583,24-Apr-2018,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,54.0,0
1136584,25-Apr-2018,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,51.6,0
1136585,26-Apr-2018,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.1,0
1136586,27-Apr-2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,56.1,0
1136587,28-Apr-2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,61.6,1
1136588,01-May-2018,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,53.6,0
1136589,02-May-2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.6,1
1136590,03-May-2018,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,59.5,0
1136591,04-May-2018,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,51.3,0
1136592,05-May-2018,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,57.8,0
1136593,06-May-2018,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,59.1,1
1136594,07-May-2018,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,52.8,1
1136595,08-May-2018,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,51.1,0
1136596,09-May-2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,50.1,0
1136597,10-May-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,57.8,0
1136598,11-May-2018,Rajasthan Royals,Punjab Kings,Punjab Kings,Punjab Kings,52.8,1
1136599,12-May-2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,54.2,0
1136600,13-May-2018,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,53.7,0
1136601,14-May-2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,53.1,0
1136602,15-May-2018,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,54.9,0
1136603,16-May-2018,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,51.7,1
1136604,17-May-2018,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,56.6,0
1136605,18-May-2018,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.6,1
1136606,19-May-2018,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,51.8,0
1136607,20-May-2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,59.6,1
1136608,21-May-2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,54.6,1
1136609,22-May-2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.8,1
1136610,23-May-2018,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,59.2,0
1136611,24-May-2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,53.5,0
1136612,25-May-2018,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,53.9,0
1136613,26-May-2018,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,52.1,0
1136614,27-May-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,55.7,1
1136615,28-May-2018,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,51.7,1
1136616,01-Jun-2018,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,51.2,1
1136617,02-Jun-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,51.1,1
1136618,03-Jun-2018,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,56.4,0
1136619,04-Jun-2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,51.5,1
1136620,05-Jun-2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,51.1,1
1175356,02-Apr-2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,51.9,0
1175357,03-Apr-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,51.5,0
1175358,04-Apr-2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,62.9,0
1175359,05-Apr-2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,57.1,0
1175360,06-Apr-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.5,1
1175361,07-Apr-2019,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,56.0,0
1175362,08-Apr-2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Mumbai Indians,56.9,0
1175363,09-Apr-2019,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,51.0,1
1175364,10-Apr-2019,Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,57.5,1
1175366,11-Apr-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,54.2,0
1175367,12-Apr-2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,61.9,0
1175368,13-Apr-2019,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,53.2,0
1175369,14-Apr-2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.8,1
1175370,15-Apr-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,55.7,0
1175371,16-Apr-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,58.9,1
1175372,17-Apr-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.6,1
1178393,18-Apr-2019,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,50.4,1
1178394,19-Apr-2019,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,59.1,0
1178395,20-Apr-2019,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,50.9,0
1178396,21-Apr-2019,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,54.5,1
1178397,22-Apr-2019,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,53.0,1
1178398,23-Apr-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,53.5,1
1178399,24-Apr-2019,Punjab Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,57.0,1
1178400,25-Apr-2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.3,1
1178401,26-Apr-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,53.2,1
1178402,27-Apr-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,59.6,1
1178403,28-Apr-2019,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
1178404,01-May-2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.4,1
1178405,02-May-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,63.5,0
1178406,03-May-2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.8,1
1178407,04-May-2019,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,56.4,0
1178408,05-May-2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,50.4,0
1178409,06-May-2019,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,52.2,0
1178410,07-May-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,50.8,1
1178411,08-May-2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,58.6,1
1178412,09-May-2019,Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,51.5,0
1178413,10-May-2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,60.6,1
1178414,11-May-2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,51.6,1
1178415,12-May-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,53.0,1
1178416,13-May-2019,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,52.6,0
1178417,14-May-2019,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,52.0,0
1178418,15-May-2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,56.4,1
1178419,16-May-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,52.0,0
1178420,17-May-2019,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,54.0,1
1178421,18-May-2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,54.4,1
1178422,19-May-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,55.3,0
1178423,20-May-2019,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,53.1,0
1178425,21-May-2019,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai Super Kings,58.7,0
1178427,22-May-2019,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,54.6,1
1178428,23-May-2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.6,1
1178429,24-May-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.4,1
1178430,25-May-2019,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,63.4,1
1178431,26-May-2019,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,60.0,1
1181764,27-May-2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,50.7,1
1181766,28-May-2019,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,53.2,0
1181767,01-Jun-2019,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.2,1
1181768,02-Jun-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,58.0,0
1216492,02-Apr-2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.0,1
1216494,03-Apr-2020,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,51.9,1
1216495,04-Apr-2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,59.9,1
1216496,05-Apr-2020,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,52.6,0
1216497,06-Apr-2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,57.2,0
1216498,07-Apr-2020,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,54.3,0
1216499,08-Apr-2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.1,1
1216500,09-Apr-2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,63.2,0
1216501,10-Apr-2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,58.7,0
1216502,11-Apr-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,56.1,1
1216503,12-Apr-2020,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,58.6,0
1216504,13-Apr-2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,56.3,0
1216505,14-Apr-2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Delhi Capitals,51.9,1
1216506,15-Apr-2020,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,53.5,1
1216507,16-Apr-2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,50.3,0
1216508,17-Apr-2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,57.2,0
1216509,18-Apr-2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.8,1
1216510,19-Apr-2020,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,54.0,0
1216511,20-Apr-2020,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,53.2,0
1216513,21-Apr-2020,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.0,1
1216514,22-Apr-2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.5,1
1216515,23-Apr-2020,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,61.5,0
1216516,24-Apr-2020,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,55.5,0
1216518,25-Apr-2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,53.6,1
1216519,26-Apr-2020,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,60.0,0
1216520,27-Apr-2020,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,59.9,1
1216521,28-Apr-2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,63.6,1
1216522,01-May-2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,51.8,0
1216523,02-May-2020,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,53.5,0
1216524,03-May-2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,53.1,1
1216525,04-May-2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,55.4,0
1216526,05-May-2020,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.5,1
1216527,06-May-2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.3,1
1216528,07-May-2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,53.7,1
1216529,08-May-2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,54.0,1
1216530,09-May-2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,56.3,0
1216531,10-May-2020,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Punjab Kings,54.2,1
1216532,11-May-2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,51.2,0
1216533,12-May-2020,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.1,1
1216534,13-May-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,52.0,0
1216535,14-May-2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,58.2,1
1216536,15-May-2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,52.3,1
1216537,16-May-2020,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,57.4,1
1216538,17-May-2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,51.5,0
1216539,18-May-2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,55.3,0
1216540,19-May-2020,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,56.3,0
1216541,20-May-2020,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.2,1
1216542,21-May-2020,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,50.2,0
1216543,22-May-2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,51.9,1
1216544,23-May-2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.4,1
1216545,24-May-2020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,56.6,1
1216546,25-May-2020,Delhi Capitals,Punjab Kings,Delhi Capitals,Punjab Kings,51.3,0
1237177,26-May-2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,51.5,0
1237178,27-May-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,56.3,1
1237180,28-May-2020,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,50.8,0
1237181,01-Jun-2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,Mumbai Indians,50.3,0
1254058,02-Apr-2021,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,57.1,1
1254059,03-Apr-2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,62.3,1
1254060,04-Apr-2021,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,58.9,0
1254061,05-Apr-2021,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,58.1,0
1254062,06-Apr-2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,54.5,0
1254063,07-Apr-2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,53.6,0
1254064,08-Apr-2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,63.9,1
1254065,09-Apr-2021,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,54.1,1
1254066,10-Apr-2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,51.1,1
1254067,11-Apr-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,53.8,0
1254068,12-Apr-2021,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,54.9,1
1254069,13-Apr-2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,65.3,0
1254070,14-Apr-2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,55.3,1
1254071,15-Apr-2021,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,50.8,0
1254072,16-Apr-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,63.7,0
1254073,17-Apr-2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,58.1,1
1254074,18-Apr-2021,Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,56.0,1
1254075,19-Apr-2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,61.0,1
1254076,20-Apr-2021,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,51.7,0
1254078,21-Apr-2021,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,53.7,1
1254079,22-Apr-2021,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,50.1,1
1254080,23-Apr-2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,54.1,1
1254081,24-Apr-2021,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,50.1,0
1254082,25-Apr-2021,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Delhi Capitals,55.3,1
1254083,26-Apr-2021,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,56.2,0
1254084,27-Apr-2021,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,58.3,1
1254085,28-Apr-2021,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,52.1,0
1254086,01-May-2021,Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.2,1
1254087,02-May-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,57.2,1
1254088,03-May-2021,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,52.4,0
1254089,04-May-2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,65.4,1
1254090,05-May-2021,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Royal Challengers Bangalore,54.2,0
1254091,06-May-2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,50.3,1
1254092,07-May-2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,61.5,1
1254093,08-May-2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,55.5,1
1254094,09-May-2021,Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,60.4,1
1254095,10-May-2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,55.9,0
1254096,11-May-2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,57.9,1
1254097,12-May-2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,64.0,0
